time(s),Temperature (in),Heater 1 %(in),Heater 2 %(in)
799.174,33.5,100.0,0.0
800.296,33.5,100.0,0.0
801.414,33.5,100.0,0.0
802.536,33.5,100.0,0.0

803.655,33.5,100.0,0.0
804.777,33.5,100.0,0.0
805.895,33.5,100.0,0.0
807.017,33.5,100.0,0.0
808.136,33.5,100.0,0.0
809.258,33.5,100.0,0.0
810.376,33.5,100.0,0.0
811.498,33.5,100.0,0.0
812.616,33.5,100.0,0.0

813.741,33.5,100.0,0.0
814.857,33.5,100.0,0.0
815.979,33.5,100.0,0.0
817.097,33.5,100.0,0.0
818.219,33.5,100.0,0.0
819.338,33.5,100.0,0.0
820.456,33.5,100.0,0.0
821.593,33.5,100.0,0.0

822.696,33.5,100.0,0.0
823.818,33.5,100.0,0.0
824.937,33.5,100.0,0.0
826.059,33.5,100.0,0.0
827.177,33.5,100.0,0.0
828.299,33.5,100.0,0.0
829.418,33.5,100.0,0.0
830.54,33.5,100.0,0.0
831.658,33.5,100.0,0.0

832.78,33.5,100.0,0.0
833.898,33.5,100.0,0.0
835.02,33.5,100.0,0.0
836.139,33.5,100.0,0.0
837.264,33.5,100.0,0.0
838.379,34.0,100.0,0.0
839.502,33.5,100.0,0.0
840.62,34.0,100.0,0.0

841.743,33.5,100.0,0.0
842.86,34.0,100.0,0.0
843.978,34.0,100.0,0.0
845.1,34.0,100.0,0.0
846.219,34.0,100.0,0.0
847.341,34.0,100.0,0.0
848.459,34.0,100.0,0.0
849.581,34.0,100.0,0.0

850.7,34.0,100.0,0.0
851.822,34.0,100.0,0.0
852.94,34.0,100.0,0.0
854.062,34.0,100.0,0.0
855.18,34.0,100.0,0.0
856.303,34.0,100.0,0.0
857.421,34.0,100.0,0.0
858.543,34.0,100.0,0.0
859.661,34.0,100.0,0.0

860.79,34.0,100.0,0.0
861.903,34.0,100.0,0.0
863.024,34.0,100.0,0.0
864.142,34.0,100.0,0.0
865.264,34.0,100.0,0.0
866.383,34.0,100.0,0.0
867.505,34.0,100.0,0.0
868.623,34.0,100.0,0.0

869.741,34.0,100.0,0.0
870.863,34.0,100.0,0.0
871.982,34.0,100.0,0.0
873.104,34.0,100.0,0.0
874.222,34.0,100.0,0.0
875.344,34.0,100.0,0.0
876.462,34.0,100.0,0.0
877.584,34.0,100.0,0.0
878.703,34.0,100.0,0.0

879.825,34.0,100.0,0.0
880.944,34.0,100.0,0.0
882.066,34.0,100.0,0.0
883.184,34.0,100.0,0.0
884.306,34.0,100.0,0.0
885.428,34.0,100.0,0.0
886.546,34.0,100.0,0.0
887.665,34.0,100.0,0.0

888.787,34.0,100.0,0.0
889.909,34.0,100.0,0.0
891.028,34.0,100.0,0.0
892.146,34.0,100.0,0.0
893.268,34.0,100.0,0.0
894.386,34.0,100.0,0.0
895.508,34.0,100.0,0.0
896.628,34.0,100.0,0.0

897.744,34.0,100.0,0.0
898.867,34.0,100.0,0.0
899.985,34.0,100.0,0.0
901.107,34.0,100.0,0.0
902.226,34.0,100.0,0.0
903.348,34.0,100.0,0.0
904.466,34.0,100.0,0.0
905.588,34.0,100.0,0.0
906.706,34.0,100.0,0.0

907.828,34.0,100.0,0.0
908.952,34.0,100.0,0.0
910.069,34.0,100.0,0.0
911.187,34.0,100.0,0.0
912.309,34.0,100.0,0.0
913.43,34.0,100.0,0.0
914.55,34.0,100.0,0.0
915.668,34.0,100.0,0.0

916.79,34.0,100.0,0.0
917.908,34.0,100.0,0.0
919.031,34.0,100.0,0.0
920.149,34.0,100.0,0.0
921.271,34.0,100.0,0.0
922.389,34.0,100.0,0.0
923.511,34.5,100.0,0.0
924.63,34.0,100.0,0.0
925.763,34.5,100.0,0.0

926.87,34.5,100.0,0.0
927.988,34.5,100.0,0.0
929.111,34.5,100.0,0.0
930.24,34.5,100.0,0.0
931.351,34.5,100.0,0.0
932.469,34.5,100.0,0.0
933.591,34.5,100.0,0.0
934.71,34.5,100.0,0.0

935.832,34.5,100.0,0.0
936.95,34.5,100.0,0.0
938.072,34.5,100.0,0.0
939.19,34.5,100.0,0.0
940.313,34.5,100.0,0.0
941.431,34.5,100.0,0.0
942.553,34.5,100.0,0.0
